#interpro;categorie_libelle;categorie_code;genre_libelle;genre_code;denomination_libelle;denomination_code;mention_libelle;mention_code;lieu_libelle;lieu_code;couleur_libelle;couleur_code;cepage_libelle;cepage_code;departements;douane_code;douane_libelle;douane_taxe;douane_date;douane_noeud;cvo_taxe;cvo_date;cvo_noeud;repli_entree;repli_sorti;declassement_entree;declassement_sorti;densite;labels;code_produit;code_produit_noeud;code_analytique;code_comptable_noeud;code_douane;code_douane_noeud;alias_produit;format_libelle;format_libelle_noeud;cepages autorises;hash_produit
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Savennières;SAV;;;;;Blanc;blanc;Chenin;CHE;;1B216S;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B216S;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/SAV/mentions/DEFAUT/lieux/DEFAUT/couleurs/blanc/cepages/CHE
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Savennières;SAV;moelleux ou doux;MOD;;;Blanc;blanc;Chenin;CHE;;1B216L;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B216L;;;%a% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/SAV/mentions/MOD/lieux/DEFAUT/couleurs/blanc/cepages/CHE
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Savennières;SAV;demi sec;DES;;;Blanc;blanc;Chenin;CHE;;1B216;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B216;;;%a% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/SAV/mentions/DES/lieux/DEFAUT/couleurs/blanc/cepages/CHE
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Muscadet AC;MUSAC;;;;;Blanc;blanc;Melon;MEL;;1B228;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B228;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/MUSAC/mentions/DEFAUT/lieux/DEFAUT/couleurs/blanc/cepages/MEL
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Muscadet AC;MUSAC;Sur lie;LIE;;;Blanc;blanc;Melon;MEL;;1B228 01;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B228 01;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/MUSAC/mentions/LIE/lieux/DEFAUT/couleurs/blanc/cepages/MEL
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Muscadet AC;MUSAC;Primeur;PRI;;;Blanc;blanc;Melon;MEL;;1B228 02;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B228 02;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/MUSAC/mentions/PRI/lieux/DEFAUT/couleurs/blanc/cepages/MEL
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Muscadet Côtes de Grand Lieu;MUSCGL;;;;;Blanc;blanc;Melon;MEL;;1B227;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B227;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/MUSCGL/mentions/DEFAUT/lieux/DEFAUT/couleurs/blanc/cepages/MEL
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Muscadet Côtes de Grand Lieu;MUSCGL;Sur lie;LIE;;;Blanc;blanc;Melon;MEL;;1B227 01;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B227 01;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/MUSCGL/mentions/LIE/lieux/DEFAUT/couleurs/blanc/cepages/MEL
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Anjou Coteaux de la Loire;ANJCDL;;;;;Blanc;blanc;Chenin;CHE;;1B202L;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B202L;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/ANJCDL/mentions/DEFAUT/lieux/DEFAUT/couleurs/blanc/cepages/CHE
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Cabernet de Saumur;CAS;;;;;Rosé;rose;;;;1S207;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1S207;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/CAS/mentions/DEFAUT/lieux/DEFAUT/couleurs/rose/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Chinon;CHI;;;;;Blanc;blanc;Chenin;CHE;;1B222S;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B222S;;;%g% %a% %l% %co% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/CHI/mentions/DEFAUT/lieux/DEFAUT/couleurs/blanc/cepages/CHE
